,Pos,Player,Team,Auction Value,Upside,Downside,Exp_PTS,Hi_PTS,Lo_PTS
183,RB,Bryce Love,WAS,0.0,7.801488833746901,-7.176178660049632,33.7,59.9,9.6
184,RB,Cameron Artis-Payne,CAR,0.0,7.7717121588089375,-4.9727047146402,33.3,59.4,16.6
2179,TE,Charles Clay,ARI,0.0,6.491315136476429,-2.2332506203473956,33.1,54.9,25.6
185,RB,Ty Montgomery,NYJ,0.0,10.004962779156335,-4.555831265508687,32.8,66.4,17.5
2757,WR,Chad Beebe,MIN,0.0,4.1985111662531045,-5.3300248138957835,31.9,46.0,14.0
186,RB,J.D. McKissic,SEA,0.0,6.04466501240695,-3.573200992555833,31.6,51.9,19.6
2758,WR,Ryan Switzer,PIT,0.0,0.26799007444168704,-0.7146401985111672,31.6,32.5,29.2
2180,TE,C.J. Uzomah,CIN,0.0,3.6327543424317645,-3.305210918114146,31.5,43.7,20.4
2759,WR,Cody Latimer,NYG,0.0,11.970223325062042,-7.3548387096774235,31.3,71.5,6.6
2760,WR,Cordarrelle Patterson,CHI,0.0,6.5210918114143945,-2.6203473945409446,31.0,52.9,22.2
2181,TE,Irv Smith Jr.,MIN,0.0,2.6203473945409455,-2.441687344913152,30.9,39.7,22.7
2182,TE,Adam Shaheen,CHI,0.0,5.687344913151368,-3.126550868486354,30.6,49.7,20.1
187,RB,Darren Sproles,PHI,0.0,2.7990074441687356,-2.263027295285361,30.5,39.9,22.9
188,RB,Ryquell Armstead,JAC,0.0,3.483870967741937,-2.0545905707196037,30.2,41.9,23.3
2761,WR,Keith Kirkwood,NO,0.0,3.454094292803972,-5.062034739454097,29.9,41.5,12.9
2183,TE,Mo Alie-Cox,IND,0.0,6.729528535980151,-3.751861042183625,29.8,52.4,17.2
2762,WR,Chris Moore,BAL,0.0,4.972704714640201,-3.751861042183624,29.7,46.4,17.1
2184,TE,Ed Dickson,SEA,0.0,5.627791563275436,-5.270471464019853,28.9,47.8,11.2
189,RB,Kyle Juszczyk,SF,0.0,5.35980148883375,-5.627791563275436,28.7,46.7,9.8
2763,WR,Ryan Grant,OAK,0.0,3.007444168734493,-6.99751861042184,28.6,38.7,5.1
2764,WR,Marcell Ateman,OAK,0.0,4.674937965260549,-2.7096774193548394,28.4,44.1,19.3
2765,WR,Bennie Fowler,NYG,0.0,7.741935483870971,-8.426799007444172,28.3,54.3,0.0
190,RB,Kenneth Dixon,BAL,0.0,4.5558312655086874,-5.47890818858561,27.8,43.1,9.4
2185,TE,Jesse James,DET,0.0,1.5186104218362295,-1.6377171215880901,27.5,32.6,22.0
2186,TE,Jason Croom,BUF,0.0,7.205955334987596,-5.41935483870968,27.2,51.4,9.0
2766,WR,Keelan Cole,JAC,0.0,4.1687344913151385,-3.960297766749381,26.9,40.9,13.6
191,RB,Benny Snell Jr.,PIT,0.0,5.091811414392061,-3.751861042183625,26.8,43.9,14.2
192,RB,Rodney Anderson,CIN,0.0,8.545905707196034,-7.950372208436728,26.7,55.4,0.0
2187,TE,Rhett Ellison,NYG,0.0,5.330024813895785,-3.215880893300249,26.7,44.6,15.9
2767,WR,Laquon Treadwell,MIN,0.0,5.6873449131513665,-7.950372208436728,26.7,45.8,0.0
2188,TE,Tyler Kroft,BUF,0.0,1.369727047146402,-1.5186104218362295,26.6,31.2,21.5
2189,TE,Jordan Akins,HOU,0.0,2.918114143920596,-5.121588089330027,26.5,36.3,9.3
2768,WR,Aldrick Robinson,CAR,0.0,12.565756823821344,-7.861042183622832,26.4,68.6,0.0
2190,TE,James O'Shaughnessy,JAC,0.0,1.1315136476426806,-1.8759305210918125,26.2,30.0,19.9
193,RB,Spencer Ware,IND,0.0,7.057071960297769,-5.002481389578167,26.1,49.8,9.3
2191,TE,Dawson Knox,BUF,0.0,2.173697270471464,-2.1736972704714654,26.0,33.3,18.7
